id,name,species,breed,age_years,sex,owner_name,owner_phone,owner_telegram
32c0e293-0e72-42c0-b8ed-33f47b1f6305,Snowball,Dog,Golden Retriever,7,Female (spayed),Nurul Huda,,@amirul23
59b7f223-fd59-4475-89b4-67590ff6d446,Ginger,Cat,Maine Coon,11,Male (neutered),Suresh Kumar,+60 17 703 5557,
15a0d1ed-38a2-4265-8670-d7bf3c1573a9,Max,Dog,Poodle,4,Female (intact),Kevin Ng,+60 17 199 6881,
9e297e76-6b60-4bbb-9cbf-c9a7e99018a8,Rambo,Rabbit,Mini Rex,1,Male,Michelle Chan,,
a2bd76de-0f4e-4969-af6c-a0b5d38f1161,Rex,Rabbit,Mini Rex,2,Male,Marcus Chen,+60 11 338 2654,
1d1911ca-7928-4e8e-85c9-99fedba650e8,Sadie,Hamster,Roborovski,2,Female,Aaron Teh,+60 19 373 2169,
eef67cf8-9ac1-4437-b028-ec90fd5216bc,Zoe,Bird,Lovebird,2,Male,Ryan Chong,+60 19 804 4598,
5682bcf9-2fb8-4127-b762-e7c06f0da854,Amber,Rabbit,Holland Lop,3,Male,Bryan Ong,+60 13 680 6155,
8722ae42-448c-4fcc-a4c1-0a7547e41b4d,Matcha,Cat,Scottish Fold,8,Female (intact),Rosnah Daud,+60 13 862 9830,
e8871f9d-e8b4-4bc5-ab11-f6d1ff3be3fb,Tofu,Rabbit,Lionhead,5,Female,Nadia Osman,+60 12 981 2796,
c6474c94-4e97-47a2-8499-106ded7289b6,Tucker,Cat,Persian,7,Female (intact),Anand Patel,+60 18 357 1188,
ff982510-f70c-4b82-bb05-b4410413b65f,Bailey,Dog,Cocker Spaniel,2,Female (spayed),Marcus Chen,+60 17 103 5315,
e2d4005a-1c96-4aca-8f22-22def073c325,Lily,Bird,Budgerigar,5,Male,Anand Patel,+60 16 880 3646,
fa2023ed-f676-42e5-810d-11a6db308036,Teh,Bird,Lovebird,1,Male,Norhaslinda Kassim,+60 11 926 6038,
b045f5a2-e8e5-43ac-b5b8-af695ad5d7b4,Coco,Cat,Domestic Shorthair,2,Male (intact),Nadia Osman,+60 11 645 3060,
5153a7f7-73dd-4d96-a4e3-75cc546a8324,Rusty,Cat,Scottish Fold,10,Male (intact),Justin Koh,+60 18 873 4295,
222ba0c1-e6df-4ffb-93d5-c66faf2ba66d,Mango,Rabbit,Lionhead,4,Female,Norhaslinda Kassim,+60 12 446 1344,
9ba79227-44d7-46e5-880e-7c5584f8c08d,Milo,Bird,Lovebird,1,Male,Farah Azmi,+60 12 980 6413,
1534b7e3-ee1d-443b-a946-c2083afb37d5,Teh,Dog,Schnauzer,4,Male (intact),Suresh Kumar,+60 18 690 8744,
2a6f7739-00e3-49e3-ac0e-ae41d072a1a3,Maggie,Cat,Scottish Fold,7,Female (intact),Vanessa Yap,+60 19 155 2612,
acc304b5-0deb-45fa-8899-f5445d1947a7,Biscuit,Dog,Siberian Husky,4,Female (spayed),Fadzillah Ibrahim,+60 17 243 7912,
6b567b74-1769-48d5-9edd-1e229256b889,Mochi,Cat,Siamese,11,Female (intact),Suresh Kumar,+60 12 871 4872,@zulkifli66
0491cf28-2f97-4593-a2f5-06551abd1bc0,Rusty,Cat,Bengal,7,Female (intact),Farah Azmi,+60 12 499 5345,
3e3ea862-8a1d-4dd7-a01b-5dbf6135221a,Caramel,Hamster,Roborovski,5,Female,Nadia Osman,+60 16 322 1958,
